"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
24 1 1 2 0.3 "SALA_GRANDE"
24 1 4 4.9 1 "SALA_GRANDE"
24 1 5 6.65 1.5 "SALA_GRANDE"
24 1 3 3.65 1 "SALA_GRANDE"
24 1 4 4.9 1 "SALA_GRANDE"
24 1 2 2.7 1.5 "SALA_GRANDE"
24 1 3 3.65 1 "SALA_GRANDE"
24 1 6 9 2 "SALA_GRANDE"
24 1 2 2.7 1 "SALA_GRANDE"
25 1 6 9 4 "SALA_CHICA"
25 1 5 6.65 3.5 "SALA_CHICA"
25 1 3 3.65 2.5 "SALA_CHICA"
25 1 4 4.9 2 "SALA_CHICA"
25 1 6 9 5 "SALA_CHICA"
25 1 5 6.65 4 "SALA_CHICA"
25 1 6 9 5.5 "SALA_CHICA"
25 1 4 4.9 2 "SALA_CHICA"
25 1 4 4.9 0.3 "SALA_CHICA"
25 1 1 2 0.15 "SALA_CHICA"
25 1 1 2 0.2 "SALA_CHICA"
25 1 3 3.65 2 "SALA_CHICA"
25 1 1 2 1 "SALA_CHICA"
25 1 2 2.7 2.5 "SALA_CHICA"
25 1 3 3.65 3 "SALA_CHICA"
25 1 2 2.7 1.5 "SALA_CHICA"
25 1 5 6.65 4 "SALA_CHICA"
25 1 2 2.7 0.5 "SALA_CHICA"
26 1 1 2 0.6 "SALA_GRANDE"
26 1 4 4.9 1.2 "SALA_GRANDE"
26 1 2 2.7 0.8 "SALA_GRANDE"
26 1 4 4.9 1.3 "SALA_GRANDE"
26 1 6 9 2 "SALA_GRANDE"
26 1 5 6.65 2.5 "SALA_GRANDE"
26 1 5 6.65 3 "SALA_GRANDE"
26 1 4 4.9 1 "SALA_GRANDE"
26 1 1 2 0.4 "SALA_GRANDE"
26 1 6 9 1.2 "SALA_GRANDE"
26 1 3 3.65 1 "SALA_GRANDE"
26 1 6 9 2 "SALA_GRANDE"
26 1 2 2.7 0.6 "SALA_GRANDE"
26 1 2 2.7 0.6 "SALA_GRANDE"
26 1 5 6.65 2.5 "SALA_GRANDE"
26 1 1 2 0.4 "SALA_GRANDE"
26 1 3 3.65 1 "SALA_GRANDE"
26 1 3 3.65 1.2 "SALA_GRANDE"
27 1 2 2.7 2.5 "SALA_CHICA"
27 1 2 2.7 2.5 "SALA_CHICA"
27 1 4 4.9 3 "SALA_CHICA"
27 1 6 9 4 "SALA_CHICA"
27 1 5 6.65 4.25 "SALA_CHICA"
27 1 5 6.65 3.5 "SALA_CHICA"
27 1 6 9 4 "SALA_CHICA"
27 1 6 9 4.25 "SALA_CHICA"
27 1 3 3.65 2 "SALA_CHICA"
27 1 1 2 1.5 "SALA_CHICA"
27 1 4 4.9 2.5 "SALA_CHICA"
27 1 3 3.65 3 "SALA_CHICA"
27 1 1 2 1.5 "SALA_CHICA"
27 1 1 2 1 "SALA_CHICA"
27 1 5 6.65 4.5 "SALA_CHICA"
27 1 4 4.9 5 "SALA_CHICA"
27 1 2 2.7 2 "SALA_CHICA"
27 1 3 3.65 3 "SALA_CHICA"
28 1 3 3.65 3 "SALA_GRANDE"
28 1 5 6.65 4 "SALA_GRANDE"
28 1 4 4.9 5 "SALA_GRANDE"
28 1 3 3.65 5 "SALA_GRANDE"
28 1 4 4.9 6 "SALA_GRANDE"
28 1 4 4.9 6 "SALA_GRANDE"
28 1 1 2 2 "SALA_GRANDE"
28 1 1 2 2 "SALA_GRANDE"
28 1 1 2 2 "SALA_GRANDE"
28 1 2 2.7 3 "SALA_GRANDE"
28 1 6 9 6 "SALA_GRANDE"
28 1 6 9 7 "SALA_GRANDE"
28 1 2 2.7 5 "SALA_GRANDE"
28 1 5 6.65 6 "SALA_GRANDE"
28 1 3 3.65 5 "SALA_GRANDE"
28 1 6 9 7 "SALA_GRANDE"
28 1 2 2.7 6 "SALA_GRANDE"
28 1 5 6.65 7 "SALA_GRANDE"
29 1 4 4.9 1 "SALA_CHICA"
29 1 1 2 0.5 "SALA_CHICA"
29 1 4 4.9 2 "SALA_CHICA"
29 1 4 4.9 2.5 "SALA_CHICA"
29 1 2 2.7 1 "SALA_CHICA"
29 1 1 2 0.5 "SALA_CHICA"
29 1 5 6.65 3 "SALA_CHICA"
29 1 3 3.65 3 "SALA_CHICA"
29 1 2 2.7 1 "SALA_CHICA"
29 1 3 3.65 2 "SALA_CHICA"
29 1 2 2.7 2 "SALA_CHICA"
29 1 5 6.65 3 "SALA_CHICA"
29 1 6 9 4 "SALA_CHICA"
29 1 6 9 4.5 "SALA_CHICA"
29 1 3 3.65 3 "SALA_CHICA"
29 1 1 2 1 "SALA_CHICA"
29 1 5 6.65 3 "SALA_CHICA"
29 1 6 9 4 "SALA_CHICA"
30 1 5 6.65 3 "SALA_GRANDE"
30 1 1 2 0.5 "SALA_GRANDE"
30 1 5 6.65 2 "SALA_GRANDE"
30 1 2 2.7 1 "SALA_GRANDE"
30 1 6 9 2 "SALA_GRANDE"
30 1 6 9 3 "SALA_GRANDE"
30 1 2 2.7 0.8 "SALA_GRANDE"
30 1 3 3.65 1 "SALA_GRANDE"
30 1 3 3.65 3 "SALA_GRANDE"
30 1 6 9 4 "SALA_GRANDE"
30 1 4 4.9 4 "SALA_GRANDE"
30 1 3 3.65 2 "SALA_GRANDE"
30 1 4 4.9 2 "SALA_GRANDE"
30 1 5 6.65 3 "SALA_GRANDE"
30 1 2 2.7 1 "SALA_GRANDE"
30 1 1 2 0.5 "SALA_GRANDE"
30 1 4 4.9 2 "SALA_GRANDE"
30 1 1 2 0.5 "SALA_GRANDE"
13 1 6 9 4 "SALA_CHICA"
13 1 6 9 4 "SALA_CHICA"
13 1 3 3.65 1 "SALA_CHICA"
13 1 4 4.9 1 "SALA_CHICA"
13 1 5 6.65 2 "SALA_CHICA"
13 1 2 2.7 1 "SALA_CHICA"
13 1 6 9 2 "SALA_CHICA"
13 1 1 2 1 "SALA_CHICA"
13 1 4 4.9 1 "SALA_CHICA"
13 1 2 2.7 1 "SALA_CHICA"
13 1 1 2 1 "SALA_CHICA"
13 1 1 2 1 "SALA_CHICA"
13 1 3 3.65 1 "SALA_CHICA"
13 1 5 6.65 4 "SALA_CHICA"
13 1 2 2.7 1 "SALA_CHICA"
13 1 3 3.65 1 "SALA_CHICA"
13 1 4 4.9 2 "SALA_CHICA"
13 1 5 6.65 4 "SALA_CHICA"
31 1 6 9 2 "SALA_CHICA"
31 1 1 2 0.3 "SALA_CHICA"
31 1 3 3.65 0.2 "SALA_CHICA"
31 1 2 2.7 0.2 "SALA_CHICA"
31 1 1 2 0.1 "SALA_CHICA"
31 1 5 6.65 0.5 "SALA_CHICA"
31 1 3 3.65 0.3 "SALA_CHICA"
31 1 4 4.9 0.5 "SALA_CHICA"
31 1 3 3.65 0.3 "SALA_CHICA"
31 1 4 4.9 0.3 "SALA_CHICA"
31 1 2 2.7 0.1 "SALA_CHICA"
31 1 6 9 0.3 "SALA_CHICA"
31 1 1 2 0.1 "SALA_CHICA"
31 1 6 9 0.5 "SALA_CHICA"
31 1 4 4.9 0.3 "SALA_CHICA"
31 1 2 2.7 0.1 "SALA_CHICA"
31 1 5 6.65 0.5 "SALA_CHICA"
31 1 5 6.65 0.4 "SALA_CHICA"
32 1 1 2 0.5 "SALA_GRANDE"
32 1 3 3.65 1 "SALA_GRANDE"
32 1 2 2.7 1 "SALA_GRANDE"
32 1 2 2.7 1 "SALA_GRANDE"
32 1 6 9 4 "SALA_GRANDE"
32 1 1 2 0.3 "SALA_GRANDE"
32 1 2 2.7 1 "SALA_GRANDE"
32 1 4 4.9 3 "SALA_GRANDE"
32 1 6 9 4 "SALA_GRANDE"
32 1 3 3.65 2 "SALA_GRANDE"
32 1 3 3.65 3 "SALA_GRANDE"
32 1 5 6.65 5 "SALA_GRANDE"
32 1 5 6.65 6 "SALA_GRANDE"
32 1 5 6.65 5 "SALA_GRANDE"
32 1 4 4.9 2 "SALA_GRANDE"
32 1 6 9 4 "SALA_GRANDE"
32 1 4 4.9 2 "SALA_GRANDE"
32 1 1 2 0.5 "SALA_GRANDE"
14 1 1 2 0.5 "SALA_GRANDE"
14 1 3 3.65 1.5 "SALA_GRANDE"
14 1 2 2.7 2 "SALA_GRANDE"
14 1 5 6.65 3 "SALA_GRANDE"
14 1 3 3.65 2 "SALA_GRANDE"
14 1 4 4.9 2 "SALA_GRANDE"
14 1 5 6.65 3 "SALA_GRANDE"
14 1 1 2 0.5 "SALA_GRANDE"
14 1 4 4.9 2 "SALA_GRANDE"
14 1 6 9 3 "SALA_GRANDE"
14 1 5 6.65 5 "SALA_GRANDE"
14 1 6 9 3.5 "SALA_GRANDE"
14 1 2 2.7 1 "SALA_GRANDE"
14 1 6 9 3 "SALA_GRANDE"
14 1 2 2.7 1 "SALA_GRANDE"
14 1 1 2 0.5 "SALA_GRANDE"
14 1 3 3.65 2 "SALA_GRANDE"
14 1 4 4.9 2 "SALA_GRANDE"
15 1 2 2.7 1 "SALA_CHICA"
15 1 2 2.7 0.45 "SALA_CHICA"
15 1 4 4.9 0.5 "SALA_CHICA"
15 1 6 9 1.2 "SALA_CHICA"
15 1 5 6.65 1.5 "SALA_CHICA"
15 1 4 4.9 1.5 "SALA_CHICA"
15 1 4 4.9 1.1 "SALA_CHICA"
15 1 6 9 1.4 "SALA_CHICA"
15 1 6 9 0.4 "SALA_CHICA"
15 1 5 6.65 0.5 "SALA_CHICA"
15 1 1 2 0.2 "SALA_CHICA"
15 1 2 2.7 0.3 "SALA_CHICA"
15 1 3 3.65 1 "SALA_CHICA"
15 1 1 2 0.5 "SALA_CHICA"
15 1 3 3.65 1.15 "SALA_CHICA"
15 1 1 2 0.4 "SALA_CHICA"
15 1 5 6.65 1.6 "SALA_CHICA"
15 1 3 3.65 1.55 "SALA_CHICA"
16 1 3 3.65 2 "SALA_GRANDE"
16 1 3 3.65 2 "SALA_GRANDE"
16 1 6 9 2.5 "SALA_GRANDE"
16 1 3 3.65 2.5 "SALA_GRANDE"
16 1 2 2.7 1.5 "SALA_GRANDE"
16 1 4 4.9 2 "SALA_GRANDE"
16 1 4 4.9 2 "SALA_GRANDE"
16 1 5 6.65 3 "SALA_GRANDE"
16 1 5 6.65 2 "SALA_GRANDE"
16 1 1 2 1 "SALA_GRANDE"
16 1 2 2.7 1 "SALA_GRANDE"
16 1 4 4.9 1 "SALA_GRANDE"
16 1 1 2 1 "SALA_GRANDE"
16 1 1 2 1 "SALA_GRANDE"
16 1 5 6.65 3 "SALA_GRANDE"
16 1 2 2.7 1 "SALA_GRANDE"
16 1 6 9 4 "SALA_GRANDE"
16 1 6 9 4 "SALA_GRANDE"
17 1 4 4.9 1 "SALA_CHICA"
17 1 6 9 2 "SALA_CHICA"
17 1 2 2.7 0.5 "SALA_CHICA"
17 1 3 3.65 0.75 "SALA_CHICA"
17 1 5 6.65 2 "SALA_CHICA"
17 1 1 2 0.25 "SALA_CHICA"
17 1 6 9 2.5 "SALA_CHICA"
17 1 4 4.9 1 "SALA_CHICA"
17 1 3 3.65 1 "SALA_CHICA"
17 1 5 6.65 1.5 "SALA_CHICA"
17 1 2 2.7 0.5 "SALA_CHICA"
17 1 1 2 0.25 "SALA_CHICA"
17 1 3 3.65 0.75 "SALA_CHICA"
17 1 1 2 0.25 "SALA_CHICA"
17 1 6 9 2 "SALA_CHICA"
17 1 2 2.7 0.5 "SALA_CHICA"
17 1 5 6.65 1.5 "SALA_CHICA"
17 1 4 4.9 1 "SALA_CHICA"
18 1 5 6.65 1 "SALA_GRANDE"
18 1 3 3.65 0.5 "SALA_GRANDE"
18 1 1 2 0.5 "SALA_GRANDE"
18 1 6 9 2 "SALA_GRANDE"
18 1 6 9 2 "SALA_GRANDE"
18 1 1 2 1 "SALA_GRANDE"
18 1 5 6.65 1.5 "SALA_GRANDE"
18 1 2 2.7 0.8 "SALA_GRANDE"
18 1 5 6.65 3 "SALA_GRANDE"
18 1 2 2.7 1.5 "SALA_GRANDE"
18 1 3 3.65 1 "SALA_GRANDE"
18 1 4 4.9 1 "SALA_GRANDE"
18 1 2 2.7 0.5 "SALA_GRANDE"
18 1 4 4.9 3 "SALA_GRANDE"
18 1 1 2 1 "SALA_GRANDE"
18 1 6 9 4 "SALA_GRANDE"
18 1 3 3.65 2 "SALA_GRANDE"
18 1 4 4.9 1.5 "SALA_GRANDE"
19 1 6 9 2 "SALA_CHICA"
19 1 3 3.65 1 "SALA_CHICA"
19 1 3 3.65 0.7 "SALA_CHICA"
19 1 1 2 0.4 "SALA_CHICA"
19 1 4 4.9 0.3 "SALA_CHICA"
19 1 6 9 1 "SALA_CHICA"
19 1 6 9 1 "SALA_CHICA"
19 1 5 6.65 1.5 "SALA_CHICA"
19 1 4 4.9 1 "SALA_CHICA"
19 1 2 2.7 0.4 "SALA_CHICA"
19 1 2 2.7 0.3 "SALA_CHICA"
19 1 1 2 0.2 "SALA_CHICA"
19 1 4 4.9 0.4 "SALA_CHICA"
19 1 5 6.65 1 "SALA_CHICA"
19 1 3 3.65 0.5 "SALA_CHICA"
19 1 2 2.7 0.3 "SALA_CHICA"
19 1 1 2 0.2 "SALA_CHICA"
19 1 5 6.65 1.5 "SALA_CHICA"
20 1 1 2 0.1 "SALA_GRANDE"
20 1 2 2.7 0.15 "SALA_GRANDE"
20 1 4 4.9 0.25 "SALA_GRANDE"
20 1 4 4.9 0.4 "SALA_GRANDE"
20 1 6 9 1.5 "SALA_GRANDE"
20 1 2 2.7 0.5 "SALA_GRANDE"
20 1 5 6.65 2 "SALA_GRANDE"
20 1 3 3.65 1.2 "SALA_GRANDE"
20 1 2 2.7 0.1 "SALA_GRANDE"
20 1 1 2 0.05 "SALA_GRANDE"
20 1 4 4.9 0.2 "SALA_GRANDE"
20 1 6 9 0.4 "SALA_GRANDE"
20 1 1 2 0.15 "SALA_GRANDE"
20 1 6 9 1 "SALA_GRANDE"
20 1 3 3.65 0.7 "SALA_GRANDE"
20 1 3 3.65 0.5 "SALA_GRANDE"
20 1 5 6.65 1.5 "SALA_GRANDE"
20 1 5 6.65 2 "SALA_GRANDE"
